ID,DIM
070008,65.0
080001,236.875
080003,240.0
080005,249.0
080006,96.0
080009,252.333333333
080010,315.0
080013,201.8
080020,261.75
080021,233.857142857
080025,296.0
080025SD,249.0
080031,251.0
080034,197.333333333
080040,203.0
080042,271.833333333
080048,262.75
080054,287.166666667
080057,272.333333333
080066,118.0
080069,205.25
080071,355.0
080073,148.0
080080CA,251.166666667
080085,212.666666667
080087,91.0
080094,213.0
080097,115.0
080099SD,281.25
080113,247.0
080116,230.0
080125,213.4
080131,235.285714286
080134,298.0
080140,214.5
080151,231.4
080153,268.0
080161,98.0
080175,233.714285714
080177,193.0
080180,254.2
080192,244.857142857
080197,223.0
080198,316.0
080211,288.333333333
080215,105.0
080217,228.5
080219,268.0
080220,189.0
080221,112.0
080222,252.666666667
080224,150.0
080244,215.5
080248,305.5
080250SD,214.0
080252SD,168.833333333
08082CA,327.0
088000SD,276.0
088019SD,208.5
088048SD,71.0
088051SD,92.0
088054SD,45.0
088067SD,204.333333333
088075SD,103.0
088076SD,60.0
088077SD,36.0
088085SD,140.333333333
088087SD,19.0
088090SD,262.2
088105SD,61.0
088106SD,90.0
088108SD,239.5
088145SD,63.0
088154SD,115.0
088176SD,33.0
088218SD,213.75
088276CP,214.333333333
088371SD,22.0
090002HO,281.0
090003HO,253.5
090004HO,272.0
090006CP,274.6
090006HO,282.166666667
090007HO,263.333333333
090008HO,177.0
090009HO,228.625
090010HO,197.0
090011HO,329.0
090012HO,267.0
090013HO,214.25
090014HO,307.0
090015HO,260.285714286
090016CP,302.25
090016HO,327.0
090017HO,246.0
090018HO,257.0
090021HO,279.666666667
090023HO,78.0
090024HO,399.0
090025HO,98.0
090026HO,280.333333333
090027HO,224.666666667
090028HO,367.5
090030HO,308.0
090031HO,258.2
090032HO,222.2
090033HO,250.428571429
090034HO,207.6
090035HO,234.0
090036HO,254.166666667
090039HO,212.5
090040HO,229.0
090041HO,238.428571429
090042HO,311.0
090043HO,332.2
090044HO,237.0
090047HO,262.0
090048HO,248.4
090049HO,260.666666667
090050HO,278.25
090051HO,243.333333333
090052HO,254.333333333
090053HO,241.5
090054HO,226.75
090055HO,247.666666667
090056HO,243.2
090057HO,403.0
090058HO,379.333333333
090059HO,283.5
090060HO,426.666666667
090061HO,229.5
090063HO,261.0
090064HO,119.0
090065HO,247.142857143
090069HO,268.833333333
090070HO,317.5
090072HO,234.0
090073HO,70.0
090074HO,53.0
090078HO,314.5
090079HO,236.0
090080HO,382.5
090082HO,235.571428571
090086HO,318.666666667
090088HO,237.142857143
090089HO,254.5
090090HO,260.0
090091CA,250.833333333
090091HO,260.5
090092HO,266.8
090094HO,293.333333333
090097HO,229.0
090099HO,275.833333333
090101HO,247.142857143
090103HO,243.285714286
090106HO,269.166666667
090107HO,238.0
090108HO,284.2
090109HO,255.5
090110HO,276.0
090124HO,283.0
090127HO,302.0
090128HO,268.166666667
090131HO,266.571428571
090132HO,279.333333333
090137HO,247.0
090140HO,265.5
090144HO,249.5
090145HO,207.666666667
090147HO,287.5
090148HO,360.5
090150HO,272.333333333
090151HO,261.0
090155HO,221.0
090156HO,257.857142857
090157HO,430.0
090159HO,254.333333333
090161HO,302.166666667
090162HO,272.0
090163CP,265.5
090164HO,327.6
090167HO,274.0
090170HO,299.4
090174HO,240.5
090175HO,271.714285714
090177HO,310.333333333
090178HO,313.0
090179HO,226.5
090181HO,174.666666667
090186HO,205.5
090189HO,303.333333333
090193HO,319.0
090195HO,372.0
090198HO,255.333333333
090203HO,210.333333333
090205HO,422.5
090206HO,234.285714286
090217HO,410.666666667
090218HO,260.0
090219HO,241.333333333
090226HO,0.0
090227HO,162.0
090228HO,273.833333333
090232HO,232.0
090233HO,108.0
090238HO,577.0
090247HO,263.333333333
090250HO,145.0
090267HO,236.0
090269HO,259.333333333
090270HO,369.25
090273HO,255.714285714
090275HO,252.666666667
090277HO,277.5
090294HO,162.0
090297HO,249.0
090302HO,110.0
090303HO,225.5
090331HO,121.0
090332HO,334.5
090339HO,268.2
090343HO,238.5
090347HO,191.5
090351HO,183.833333333
090356HO,271.6
090368HO,176.0
090369HO,207.0
090370HO,262.0
090374HO,273.333333333
090378HO,292.0
090384HO,235.333333333
090385HO,393.0
090386HO,222.0
090387HO,54.0
090388HO,370.0
090389HO,246.333333333
090399HO,304.5
090400HO,258.333333333
090401HO,291.166666667
090402HO,305.5
090404HO,310.0
090405HO,267.5
090406HO,324.5
090407HO,374.333333333
090416HO,173.0
090417HO,181.0
090418HO,199.666666667
090421HO,310.0
090422HO,217.0
090424HO,270.666666667
090425HO,282.0
090427HO,215.0
090428HO,248.0
090431HO,237.0
090440HO,260.0
090441HO,353.25
090442HO,512.0
090449HO,216.428571429
090450HO,251.5
090451HO,310.0
090452HO,242.833333333
090454HO,225.6
090455HO,314.5
090456HO,320.0
090457HO,268.0
090461HO,192.666666667
090462HO,253.428571429
090466HO,228.0
090467HO,258.333333333
090471HO,213.2
090475HO,335.333333333
090476HO,106.0
090479HO,357.25
090483HO,263.0
090484HO,324.333333333
090486HO,268.5
090495HO,272.0
090497HO,445.0
090498HO,342.4
090506HO,230.428571429
090507HO,150.333333333
090509HO,262.428571429
090512HO,209.0
090513HO,236.142857143
090514HO,288.0
090517HO,138.5
090519HO,208.5
090523HO,241.0
090536HO,230.0
090537HO,200.2
090547HO,311.0
090551HO,383.0
090566HO,279.0
090569HO,217.5
090581HO,246.25
090584HO,208.5
090586HO,317.5
090612HO,270.571428571
