ID,Efectividad
080001,28
080003,40
080005,66.66666667
080009,30
080010,100
080013,23.52941176
080020,42.85714286
080021,32.14285714
080025,20
080025SD,0
080031,40
080034,100
080040,62.5
080042,33.33333333
080048,45.45454545
080054,16.66666667
080057,19.23076923
080069,25.80645161
080071,100
080080CA,16.66666667
080085,62.5
080094,33.33333333
080097,100
080099SD,5.555555556
080113,75
080116,40
080125,29.41176471
080131,18.60465116
080134,23.07692308
080140,25
080151,17.39130435
080153,11.76470588
080175,34.48275862
080177,0
080180,19.23076923
080192,25.92592593
080197,20
080198,14.28571429
080211,30
080217,37.5
080219,23.33333333
080220,100
080222,25
080224,100
080244,33.33333333
080248,33.33333333
080250SD,0
080252SD,20
08080CA,28.57142857
08082CA,12.5
088000SD,25
088019SD,25
088025SD,60
088067SD,33.33333333
088075SD,100
088085SD,50
088090SD,31.57894737
088099SD,50
088108SD,20
088218SD,25
088250SD,60
088252SD,80
088276CP,25
090002HO,15.38461538
090003HO,50
090004HO,33.33333333
090006CP,23.07692308
090006HO,18.75
090007HO,24.32432432
090008HO,50
090009HO,30.76923077
090010HO,36.36363636
090011HO,50
090012HO,27.77777778
090053HO,33.33333333
090054HO,57.14285714
090055HO,29.62962963
090056HO,25
090057HO,5.882352941
090058HO,13.04347826
090059HO,14.28571429
090013HO,50
090014HO,29.41176471
090015HO,29.03225806
090016CP,15.15151515
090016HO,0
090017HO,28.57142857
090018HO,17.64705882
090021HO,22.22222222
090024HO,12.5
090026HO,33.33333333
090027HO,100
090028HO,9.090909091
090030HO,8.333333333
090031HO,23.80952381
090032HO,15.625
090033HO,21.875
090034HO,33.33333333
090035HO,42.85714286
090036HO,25.92592593
090039HO,60
090040HO,57.14285714
090041HO,21.05263158
090042HO,24.3902439
090043HO,18.42105263
090044HO,27.27272727
090047HO,66.66666667
090048HO,33.33333333
090049HO,26.31578947
090050HO,28.57142857
090051HO,50
090052HO,60
090060HO,9.375
090061HO,66.66666667
090063HO,22.22222222
090065HO,27.27272727
090127HO,25.71428571
090128HO,24
090131HO,20.58823529
090132HO,30
090069HO,15.625
090070HO,9.090909091
090072HO,66.66666667
090078HO,42.85714286
090079HO,66.66666667
090080HO,14.28571429
090082HO,30.43478261
090086HO,21.42857143
090088AG,50
090088HO,22.58064516
090089HO,14.28571429
090090HO,27.27272727
090091CA,30.76923077
090091HO,100
090092HO,16
090094HO,22.85714286
090097HO,33.33333333
090099HO,23.07692308
090101HO,24.13793103
090103HO,24.13793103
090106HO,20.51282051
090107HO,40
090108HO,14.70588235
090109HO,23.80952381
090110HO,22.58064516
090124HO,17.85714286
090137HO,20
090140HO,75
090144HO,50
090145HO,28.57142857
090147HO,20
090148HO,15.38461538
090150HO,23.52941176
090151HO,0
090155HO,26.31578947
090156HO,24.24242424
090157HO,7.142857143
090159HO,23.52941176
090161HO,19.44444444
090162HO,26.19047619
090163CP,20.83333333
090164HO,20
090167HO,22.58064516
09016CP,33.33333333
090170HO,17.24137931
090174HO,37.5
090175HO,34.61538462
090177HO,25
090178HO,100
090179HO,17.85714286
090181HO,33.33333333
090186HO,20
090189HO,18.18181818
090193HO,25
090195HO,25
090198HO,20
090203HO,28.57142857
090205HO,31.25
090206HO,18.42105263
090217HO,7.407407407
090218HO,28.57142857
090219HO,35.71428571
090227HO,80
090228HO,24
090232HO,66.66666667
090233HO,100
090238HO,0
090247HO,30
090250HO,50
