ID,P,V,A,Efectividad
080001,7,18,0,28.0
080003,4,6,0,40.0
080005,2,1,0,66.6666666667
080009,3,7,0,30.0
080010,2,0,0,100.0
080013,4,13,0,23.5294117647
080020,3,4,0,42.8571428571
080021,9,19,0,32.1428571429
080025,1,4,0,20.0
080025SD,0,0,1,0.0
080031,2,3,0,40.0
080034,4,0,0,100.0
080040,5,3,0,62.5
080042,8,15,1,33.3333333333
080048,5,4,2,45.4545454545
080054,5,25,0,16.6666666667
080057,5,21,0,19.2307692308
080069,8,23,0,25.8064516129
080071,1,0,0,100.0
080080CA,3,15,0,16.6666666667
080085,5,3,0,62.5
080094,2,4,0,33.3333333333
080097,1,0,0,100.0
080099SD,1,17,0,5.55555555556
080113,3,1,0,75.0
080116,2,3,0,40.0
080125,5,12,0,29.4117647059
080131,8,35,0,18.6046511628
080134,3,10,0,23.0769230769
080140,1,3,0,25.0
080151,4,19,0,17.3913043478
080153,4,30,0,11.7647058824
080175,10,19,0,34.4827586207
080177,0,1,0,0.0
080180,5,21,0,19.2307692308
080192,7,20,0,25.9259259259
080197,1,4,0,20.0
080198,5,30,0,14.2857142857
080211,3,7,0,30.0
080217,3,5,0,37.5
080219,7,23,0,23.3333333333
080220,1,0,0,100.0
080222,2,6,0,25.0
080224,1,0,0,100.0
080244,4,8,0,33.3333333333
080248,2,3,1,33.3333333333
080250SD,0,2,0,0.0
080252SD,2,8,0,20.0
08080CA,2,5,0,28.5714285714
08082CA,1,7,0,12.5
088000SD,1,3,0,25.0
088019SD,1,3,0,25.0
088025SD,3,2,0,60.0
088067SD,2,4,0,33.3333333333
088075SD,1,0,0,100.0
088085SD,3,3,0,50.0
088090SD,6,13,0,31.5789473684
088099SD,3,3,0,50.0
088108SD,1,4,0,20.0
088218SD,3,9,0,25.0
088250SD,3,2,0,60.0
088252SD,4,1,0,80.0
088276CP,3,8,1,25.0
090002HO,4,22,0,15.3846153846
090003HO,2,2,0,50.0
090004HO,3,6,0,33.3333333333
090006CP,6,20,0,23.0769230769
090006HO,6,26,0,18.75
090007HO,9,28,0,24.3243243243
090008HO,1,1,0,50.0
090009HO,8,18,0,30.7692307692
090010HO,8,13,1,36.3636363636
090011HO,1,1,0,50.0
090012HO,5,12,1,27.7777777778
090053HO,1,2,0,33.3333333333
090054HO,4,3,0,57.1428571429
090055HO,8,19,0,29.6296296296
090056HO,4,12,0,25.0
090057HO,1,16,0,5.88235294118
090058HO,3,19,1,13.0434782609
090059HO,1,6,0,14.2857142857
090012HO,0,1,0,0.0
090013HO,3,3,0,50.0
090014HO,5,10,2,29.4117647059
090015HO,9,22,0,29.0322580645
090016CP,5,28,0,15.1515151515
090016HO,0,2,0,0.0
090017HO,4,10,0,28.5714285714
090018HO,3,14,0,17.6470588235
090021HO,6,21,0,22.2222222222
090024HO,1,7,0,12.5
090026HO,3,6,0,33.3333333333
090027HO,3,0,0,100.0
090028HO,1,10,0,9.09090909091
090030HO,1,11,0,8.33333333333
090031HO,5,16,0,23.8095238095
090032HO,5,27,0,15.625
090033HO,7,25,0,21.875
090034HO,5,10,0,33.3333333333
090035HO,3,4,0,42.8571428571
090036HO,7,20,0,25.9259259259
090039HO,3,2,0,60.0
090040HO,4,3,0,57.1428571429
090041HO,8,30,0,21.0526315789
090042HO,10,30,1,24.3902439024
090043HO,7,30,1,18.4210526316
090044HO,6,16,0,27.2727272727
090047HO,2,1,0,66.6666666667
090048HO,5,10,0,33.3333333333
090049HO,5,14,0,26.3157894737
090050HO,4,10,0,28.5714285714
090051HO,3,3,0,50.0
090052HO,3,1,1,60.0
090053HO,2,5,0,28.5714285714
090060HO,3,29,0,9.375
090061HO,2,1,0,66.6666666667
090063HO,4,14,0,22.2222222222
090065HO,6,15,1,27.2727272727
090124HO,1,5,0,16.6666666667
090127HO,9,26,0,25.7142857143
090128HO,6,19,0,24.0
090131HO,7,27,0,20.5882352941
090132HO,6,14,0,30.0
090065HO,1,5,0,16.6666666667
090069HO,5,27,0,15.625
090070HO,1,10,0,9.09090909091
090072HO,2,1,0,66.6666666667
090078HO,3,3,1,42.8571428571
090079HO,2,1,0,66.6666666667
090080HO,2,11,1,14.2857142857
090082HO,7,15,1,30.4347826087
090086HO,3,11,0,21.4285714286
090088AG,2,2,0,50.0
090088HO,7,24,0,22.5806451613
090089HO,1,6,0,14.2857142857
090090HO,6,15,1,27.2727272727
090091CA,8,16,2,30.7692307692
090091HO,2,0,0,100.0
090092HO,4,21,0,16.0
090094HO,8,26,1,22.8571428571
090097HO,5,10,0,33.3333333333
090099HO,9,28,2,23.0769230769
090101HO,7,22,0,24.1379310345
090103HO,7,22,0,24.1379310345
090106HO,8,31,0,20.5128205128
090107HO,4,6,0,40.0
090108HO,5,29,0,14.7058823529
090109HO,5,15,1,23.8095238095
090110HO,7,24,0,22.5806451613
090124HO,5,23,0,17.8571428571
090132HO,0,5,0,0.0
090137HO,8,32,0,20.0
090140HO,3,1,0,75.0
090144HO,1,1,0,50.0
090145HO,2,5,0,28.5714285714
090147HO,1,4,0,20.0
090148HO,2,11,0,15.3846153846
090150HO,8,26,0,23.5294117647
090151HO,0,2,0,0.0
090155HO,5,14,0,26.3157894737
090156HO,8,25,0,24.2424242424
090157HO,2,26,0,7.14285714286
090159HO,8,26,0,23.5294117647
090161HO,7,29,0,19.4444444444
090162HO,11,30,1,26.1904761905
090163CP,5,17,2,20.8333333333
090164HO,7,28,0,20.0
090167HO,7,24,0,22.5806451613
09016CP,1,2,0,33.3333333333
090170HO,5,24,0,17.2413793103
090174HO,3,5,0,37.5
090175HO,9,17,0,34.6153846154
090177HO,8,23,1,25.0
090178HO,1,0,0,100.0
090179HO,5,23,0,17.8571428571
090181HO,2,4,0,33.3333333333
090186HO,1,4,0,20.0
090189HO,6,27,0,18.1818181818
090193HO,2,6,0,25.0
090195HO,1,3,0,25.0
090198HO,6,24,0,20.0
090203HO,2,5,0,28.5714285714
090205HO,5,10,1,31.25
090206HO,7,31,0,18.4210526316
090217HO,2,25,0,7.40740740741
090218HO,6,14,1,28.5714285714
090219HO,5,9,0,35.7142857143
090227HO,4,1,0,80.0
090228HO,6,19,0,24.0
090232HO,2,1,0,66.6666666667
090233HO,2,0,0,100.0
090238HO,0,11,0,0.0
090247HO,3,7,0,30.0
090250HO,1,1,0,50.0
090267HO,6,20,0,23.0769230769
090269HO,6,21,0,22.2222222222
090270HO,3,20,0,13.0434782609
090273HO,8,28,0,22.2222222222
090275HO,5,23,0,17.8571428571
090277HO,7,22,0,24.1379310345
090294HO,4,3,0,57.1428571429
090297HO,4,4,0,50.0
090303HO,1,10,0,9.09090909091
090331HO,0,2,0,0.0
090332HO,2,3,0,40.0
090339HO,4,28,0,12.5
090343HO,2,1,0,66.6666666667
090347HO,1,6,0,14.2857142857
090351HO,6,18,0,25.0
090356HO,7,33,0,17.5
090368HO,1,0,0,100.0
090369HO,2,8,0,20.0
090370HO,0,1,0,0.0
090374HO,2,4,0,33.3333333333
090378HO,6,22,4,18.75
090384HO,5,23,0,17.8571428571
090385HO,1,16,0,5.88235294118
090386HO,9,23,0,28.125
090388HO,3,21,0,12.5
090389HO,8,33,0,19.512195122
090399HO,6,25,1,18.75
090400HO,8,27,0,22.8571428571
090401HO,6,30,0,16.6666666667
090402HO,3,7,0,30.0
090404HO,2,10,0,16.6666666667
090405HO,3,9,0,25.0
090406HO,7,24,0,22.5806451613
090407HO,3,22,1,11.5384615385
090416HO,1,2,0,33.3333333333
090417HO,5,12,0,29.4117647059
090418HO,4,3,0,57.1428571429
090421HO,3,1,1,60.0
090422HO,1,2,0,33.3333333333
090424HO,4,3,0,57.1428571429
090425HO,1,2,0,33.3333333333
090427HO,8,26,0,23.5294117647
090428HO,2,8,0,20.0
090431HO,4,14,0,22.2222222222
090440HO,1,0,0,100.0
090441HO,7,33,0,17.5
090442HO,0,14,0,0.0
090449HO,7,22,0,24.1379310345
090450HO,1,3,0,25.0
090451HO,2,2,0,50.0
090452HO,6,24,1,19.3548387097
090454HO,4,21,0,16.0
090455HO,8,26,0,23.5294117647
090456HO,0,9,0,0.0
090457HO,6,27,0,18.1818181818
090461HO,3,0,0,100.0
090462HO,9,13,0,40.9090909091
090466HO,1,4,0,20.0
090467HO,7,28,0,20.0
090471HO,6,15,0,28.5714285714
090475HO,3,15,0,16.6666666667
090479HO,5,24,1,16.6666666667
090483HO,1,1,0,50.0
090484HO,8,33,0,19.512195122
090486HO,1,3,0,25.0
090495HO,1,3,0,25.0
090497HO,0,9,0,0.0
090498HO,5,22,0,18.5185185185
090506HO,7,24,0,22.5806451613
090507HO,3,4,0,42.8571428571
090509HO,9,24,0,27.2727272727
090512HO,2,0,0,100.0
090513HO,9,24,1,26.4705882353
090514HO,4,0,1,80.0
090517HO,1,1,0,50.0
090519HO,1,2,0,33.3333333333
090523HO,2,5,0,28.5714285714
090536HO,0,2,0,0.0
090537HO,7,8,0,46.6666666667
090547HO,1,5,0,16.6666666667
090551HO,2,29,0,6.45161290323
090566HO,1,8,0,11.1111111111
090569HO,1,3,0,25.0
090581HO,3,17,0,15.0
090584HO,2,1,0,66.6666666667
090586HO,6,28,0,17.6470588235
090612HO,6,23,0,20.6896551724
090614HO,6,19,2,22.2222222222
090621HO,7,20,1,25.0
090627HO,0,2,0,0.0
090631HO,0,9,0,0.0
090640HO,0,3,0,0.0
090641HO,3,13,0,18.75
090644HO,1,1,0,50.0
090645HO,7,28,0,20.0
090648HO,1,6,0,14.2857142857
090652HO,1,4,0,20.0
090678HO,6,22,2,20.0
090680HO,7,29,0,19.4444444444
090683HO,1,3,0,25.0
090684HO,2,1,0,66.6666666667
090685HO,3,25,0,10.7142857143
090687HO,1,5,0,16.6666666667
090689HO,5,29,0,14.7058823529
090716HO,5,6,1,41.6666666667
090721HO,2,14,0,12.5
090737HO,6,25,0,19.3548387097
090740HO,4,12,0,25.0
090741HO,7,20,0,25.9259259259
090742HO,1,5,0,16.6666666667
090743HO,2,1,0,66.6666666667
090743JE,4,10,0,28.5714285714
090744HO,4,23,0,14.8148148148
090746HO,6,12,2,30.0
090759HO,8,23,0,25.8064516129
090766HO,9,20,0,31.0344827586
090768HO,8,33,0,19.512195122
090779HO,3,18,0,14.2857142857
090780HO,2,2,0,50.0
090782HO,0,3,0,0.0
090783HO,8,24,0,25.0
090796HO,8,20,0,28.5714285714
090797HO,2,3,0,40.0
090798HO,3,5,0,37.5
090812HO,7,25,0,21.875
090814HO,5,5,0,50.0
090816CP,2,30,0,6.25
090825HO,6,33,0,15.3846153846
090884HO,6,33,1,15.0
090895HO,3,24,0,11.1111111111
09092CA,3,0,0,100.0
09096CA,1,1,0,50.0
09097CA,1,4,0,20.0
099006CP,1,0,0,100.0
099008CP,1,3,0,25.0
099057CP,7,25,0,21.875
099163CP,0,2,0,0.0
099235CP,7,22,1,23.3333333333
099687CP,3,18,0,14.2857142857
099816CP,0,3,0,0.0
100000HO,0,2,0,0.0
100001CP,2,5,0,28.5714285714
100001HO,8,28,0,22.2222222222
100002HO,4,6,0,40.0
100003HO,10,29,0,25.641025641
100004HO,2,0,0,100.0
100005HO,3,2,0,60.0
100006HO,4,5,0,44.4444444444
100007HO,1,0,0,100.0
100008HO,3,6,0,33.3333333333
100009HO,6,31,0,16.2162162162
100010HO,2,4,0,33.3333333333
100011HO,3,17,0,15.0
100012HO,1,6,0,14.2857142857
100013CP,3,15,0,16.6666666667
100013HO,3,1,0,75.0
100014HO,7,24,0,22.5806451613
100015HO,3,20,0,13.0434782609
100016HO,3,5,0,37.5
100017HO,3,11,0,21.4285714286
100018HO,8,29,0,21.6216216216
100019HO,2,15,0,11.7647058824
100021HO,3,7,0,30.0
100022HO,4,4,0,50.0
100023HO,1,0,0,100.0
100024HO,10,26,1,27.027027027
100025HO,2,1,0,66.6666666667
100026HO,3,1,0,75.0
100027HO,2,7,0,22.2222222222
100028HO,3,12,0,20.0
100029HO,7,23,1,22.5806451613
100030HO,8,30,0,21.0526315789
100031HO,10,24,0,29.4117647059
100032HO,4,10,0,28.5714285714
100033HO,6,8,0,42.8571428571
100034HO,9,25,1,25.7142857143
100035HO,3,5,0,37.5
100036HO,5,18,1,20.8333333333
100037HO,5,36,0,12.1951219512
100038HO,7,19,1,25.9259259259
100040HO,9,16,0,36.0
100042HO,2,5,0,28.5714285714
100043HO,10,6,1,58.8235294118
100044HO,3,8,0,27.2727272727
100046JE,1,6,0,14.2857142857
100047HO,4,10,1,26.6666666667
100048CP,0,5,0,0.0
100048HO,4,34,0,10.5263157895
100049HO,0,4,0,0.0
100051CP,3,16,0,15.7894736842
100051HO,3,3,0,50.0
100052HO,2,2,0,50.0
100053JE,4,4,0,50.0
100054HO,4,9,0,30.7692307692
100055CP,3,3,0,50.0
100055HO,2,8,0,20.0
100056HO,3,2,0,60.0
100060HO,8,28,1,21.6216216216
100062HO,1,2,0,33.3333333333
100063HO,7,27,0,20.5882352941
100064HO,2,0,0,100.0
