,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO
0,070008,2013,F1H,HO1297,0
1,080001,2008,F1H,H0681,350
2,080003,2008,F1H,H0719,329
3,080005,2008,F1H,H0681,321
4,080006,2008,F1H,H0681,0
5,080009,2008,F1H,H0681,377
6,080010,2008,F1H,H0681,0
7,080013,2008,F1H,H0719,379
8,080020,2008,F1H,H0681,371
9,080021,2008,F1H,H0719,439
10,080025,2008,F1H,H0681,344
11,080025SD,2008,F1H,BR,371
12,080031,2008,F1H,H0719,424
13,080034,2008,F1H,H0681,345
14,080040,2008,F1H,H0681,340
15,080042,2008,F1H,H0719,330
16,080048,2008,F1H,H0681,426
17,080054,2008,F1H,H0681,635
18,080055,2008,F1H,H0719,0
19,080057,2008,F1H,H0681,381
20,080066,2008,F1H,H0681,0
21,080069,2008,F1H,H0681,361
22,080071,2008,F1H,H0681,0
23,080073,2008,F1H,H0719,0
24,080080CA,2008,F1H,BR,534
25,080085,2008,F1H,H0681,342
26,080087,2008,F1H,H0719,0
27,080094,2008,F1H,H0681,373
28,080097,2008,F1H,H0719,0
29,080099SD,2008,F1H,BR,600
30,080111,2008,F1H,H0719,0
31,080113,2008,F1H,H0719,367
32,080116,2008,EC,H0681,396
33,080125,2008,F1H,H0681,477
34,080131,2008,F1H,H0681,384
35,080134,2008,F1H,H0719,333
36,080140,2008,EC,H0681,336
37,080150,2008,F1H,H0681,0
38,080151,2008,F1H,H0719,444
39,080153,2008,F1H,H0719,622
40,080161,2008,F1H,H0681,0
41,080175,2008,F1H,H0719,345
42,080177,2008,F1H,H0719,0
43,080180,2008,F1H,H0719,317
44,080192,2008,F1H,H0681,407
45,080197,2008,F1H,H0681,439
46,080198,2008,F1H,H0719,611
47,080200,2008,EC,H0719,0
48,080211,2008,F1H,H0719,427
49,080215,2008,F1H,H0719,0
50,080217,2008,F1H,H0719,310
51,080219,2008,EC,H0719,418
52,080220,2008,F1H,H0719,0
53,080221,2008,F1H,H0719,0
54,080222,2008,F1H,H0719,335
55,080224,2008,F1H,H0719,309
56,080244,2008,F1H,H0719,376
57,080248,2008,F1H,H0719,310
58,080250SD,2008,F1H,BR,317
59,080252SD,2008,F1H,BR,335
60,08082CA,2008,F1H,BR,456
61,088000SD,2008,F1H,BR,445
62,088019SD,2008,F1H,BR,378
63,088048SD,2008,F1H,BR,0
64,088051SD,2008,F1H,BR,0
65,088054SD,2008,F1H,BR,0
66,088067SD,2008,F1H,BR,393
67,088075SD,2008,F1H,BR,0
68,088076SD,2008,F1H,BR,0
69,088077SD,2008,F1H,BR,0
70,088085SD,2008,F1H,BR,573
71,088087SD,2008,F1H,BR,0
72,088090SD,2008,F1H,BR,342
73,088105SD,2008,F1H,BR,0
74,088106SD,2008,F1H,BR,0
75,088108SD,2008,F1H,BR,332
76,088145SD,2008,F1H,BR,0
77,088154SD,2008,F1H,BR,0
78,088176SD,2008,F1H,BR,0
79,088218SD,2008,F1H,BR,397
80,088276CP,2008,F1H,BR,369
81,088371SD,2008,F1H,BR,0
82,090002HO,2009,F1H,H487,457
83,090003HO,2009,F1H,H489,380
84,090004HO,2009,F1H,H489,365
85,090006CP,2009,F1H,BR,439
86,090006HO,2009,F1H,H489,378
87,090007HO,2009,F1H,H590,433
88,090008HO,2009,F1H,H487,312
89,090009HO,2009,F1H,H489,318
90,090010HO,2009,F1H,H487,329
91,090011HO,2009,F1H,H489,0
92,090012HO,2009,F1H,H489,372
93,090013HO,2009,F1H,H487,376
94,090014HO,2009,F1H,H489,315
95,090015HO,2009,F1H,H487,333
96,090016CP,2009,F1H,BR,357
97,090016HO,2009,F1H,H590,0
98,090017HO,2009,F1H,H590,365
99,090018HO,2009,F1H,H489,605
100,090021HO,2009,F1H,H489,388
101,090023HO,2009,F1H,H489,0
102,090024HO,2009,F1H,H489,652
103,090025HO,2009,F1H,H590,0
104,090026HO,2009,F1H,H489,561
105,090027HO,2009,F1H,H489,299
106,090028HO,2009,F1H,H487,334
107,090030HO,2009,F1H,H489,682
108,090031HO,2009,F1H,H489,359
109,090032HO,2009,F1H,H590,487
110,090033HO,2009,F1H,H489,345
111,090034HO,2009,F1H,H489,359
112,090035HO,2009,F1H,H489,494
113,090036HO,2009,F1H,H590,656
114,090039HO,2009,F1H,H487,313
115,090040HO,2009,F1H,H489,463
116,090041HO,2009,F1H,H489,347
117,090042HO,2009,F1H,H489,315
118,090043HO,2009,F1H,H489,653
119,090044HO,2009,F1H,H489,345
120,090047HO,2009,F1H,H489,0
121,090048HO,2009,F1H,H487,355
122,090049HO,2009,F1H,H487,410
123,090050HO,2009,EC,H489,337
124,090051HO,2009,F1H,H590,336
125,090052HO,2009,F1H,H489,320
126,090053HO,2009,F1H,H489,593
127,090054HO,2009,F1H,H489,320
128,090055HO,2009,EC,H489,351
129,090056HO,2009,F1H,H489,395
130,090057HO,2009,F1H,H489,616
131,090058HO,2009,F1H,H489,679
132,090059HO,2009,F1H,H590,632
133,090060HO,2009,F1H,H590,576
134,090061HO,2009,F1H,H489,354
135,090063HO,2009,F1H,H487,323
136,090064HO,2009,F1H,H489,0
137,090065HO,2009,F1H,H489,419
138,090069HO,2009,F1H,H489,410
139,090070HO,2009,F1H,H489,703
140,090072HO,2009,F1H,H590,343
141,090073HO,2009,F1H,H590,0
142,090074HO,2009,EC,H590,0
143,090078HO,2009,F1H,H489,310
144,090079HO,2009,F1H,H489,335
145,090080HO,2009,F1H,H489,794
146,090081HO,2009,F1H,H489,0
147,090082HO,2009,F1H,H487,367
148,090086HO,2009,F1H,H489,315
149,090088HO,2009,F1H,H590,294
150,090089HO,2009,F1H,H489,315
151,090090HO,2009,F1H,H489,533
152,090091CA,2009,F1H,BR,470
153,090091HO,2009,F1H,H489,369
154,090092HO,2009,F1H,H489,491
155,090094HO,2009,F1H,H489,482
