ID,ANO_NACIMIENTO,RAZA,PADRE,MADRE,INTERPARTO
070008,2013,F1H,HO1297,,0
080001,2008,F1H,H0681,050274,350
080003,2008,F1H,H0719,050295,329
080005,2008,F1H,H0681,050240AG,321
080006,2008,F1H,H0681,050342,40580
080009,2008,F1H,H0681,050504AG,377
080010,2008,F1H,H0681,050815AG,40555
080013,2008,F1H,H0719,050097,379
080020,2008,F1H,H0681,050860,371
080021,2008,F1H,H0719,050021AG,439
080025,2008,F1H,H0681,050581,344
080025SD,2008,F1H,,,371
080031,2008,F1H,H0719,050510,424
080034,2008,F1H,H0681,050489,345
080040,2008,F1H,H0681,050573,340
080042,2008,F1H,H0719,050664AG,330
080048,2008,F1H,H0681,050277,426
080054,2008,F1H,H0681,050027,635
080055,2008,F1H,H0719,050008,0
080057,2008,F1H,H0681,050048,381
080066,2008,F1H,H0681,050175AG,40617
080069,2008,F1H,H0681,050135,361
080071,2008,F1H,H0681,050132,40568
080073,2008,F1H,H0719,050562,40528
080080CA,2008,F1H,,CACO,534
080085,2008,F1H,H0681,050601,342
080087,2008,F1H,H0719,050106AG,40649
080094,2008,F1H,H0681,050419,373
080097,2008,F1H,H0719,050211AG,0
080099SD,2008,F1H,,,600
080111,2008,F1H,H0719,050003,0
080113,2008,F1H,H0719,050232,367
080116,2008,EC,H0681,050270,396
080125,2008,F1H,H0681,050217AG,477
080131,2008,F1H,H0681,050010AG,384
080134,2008,F1H,H0719,050746,333
080140,2008,EC,H0681,050268,336
080150,2008,F1H,H0681,050344AG,0
080151,2008,F1H,H0719,050006AG,444
080153,2008,F1H,H0719,050529,622
080161,2008,F1H,H0681,050515,40578
080175,2008,F1H,H0719,050114,345
080177,2008,F1H,H0719,050471AG,40677
080180,2008,F1H,H0719,050020,317
080192,2008,F1H,H0681,050651,407
080197,2008,F1H,H0681,050348,439
080198,2008,F1H,H0719,050576,611
080200,2008,EC,H0719,050218,0
080211,2008,F1H,H0719,050721,427
