,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO,ovder,ovizq,utero,Efectividad
1,080001,2008,F1H,H0681,350,0,0,1,28.0
2,080003,2008,F1H,H0719,329,0,0,1,40.0
3,080005,2008,F1H,H0681,321,0,0,0,66.66666667
5,080009,2008,F1H,H0681,377,1,0,1,30.0
6,080010,2008,F1H,H0681,0,0,0,0,100.0
7,080013,2008,F1H,H0719,379,0,0,1,23.52941176
8,080020,2008,F1H,H0681,371,1,0,1,42.85714286
9,080021,2008,F1H,H0719,439,1,1,1,32.14285714
10,080025,2008,F1H,H0681,344,0,0,0,20.0
11,080025SD,2008,F1H,BR,371,0,0,0,0.0
12,080031,2008,F1H,H0719,424,0,0,0,40.0
13,080034,2008,F1H,H0681,345,0,0,0,100.0
14,080040,2008,F1H,H0681,340,0,0,1,62.5
15,080042,2008,F1H,H0719,330,0,0,1,33.33333333
16,080048,2008,F1H,H0681,426,0,0,0,45.45454545
17,080054,2008,F1H,H0681,635,0,1,1,16.66666667
19,080057,2008,F1H,H0681,381,0,1,1,19.23076923
21,080069,2008,F1H,H0681,361,1,0,1,25.80645161
22,080071,2008,F1H,H0681,0,0,0,0,100.0
24,080080CA,2008,F1H,BR,534,1,0,1,16.66666667
25,080085,2008,F1H,H0681,342,0,0,0,62.5
27,080094,2008,F1H,H0681,373,0,0,0,33.33333333
28,080097,2008,F1H,H0719,0,0,0,0,100.0
29,080099SD,2008,F1H,BR,600,0,0,1,5.555555556
31,080113,2008,F1H,H0719,367,0,0,0,75.0
32,080116,2008,EC,H0681,396,0,0,0,40.0
33,080125,2008,F1H,H0681,477,1,1,1,29.41176471
34,080131,2008,F1H,H0681,384,1,0,1,18.60465116
35,080134,2008,F1H,H0719,333,0,0,1,23.07692308
36,080140,2008,EC,H0681,336,0,0,0,25.0
38,080151,2008,F1H,H0719,444,1,0,1,17.39130435
39,080153,2008,F1H,H0719,622,1,1,1,11.76470588
41,080175,2008,F1H,H0719,345,1,0,1,34.48275862
42,080177,2008,F1H,H0719,0,0,0,0,0.0
43,080180,2008,F1H,H0719,317,1,1,1,19.23076923
44,080192,2008,F1H,H0681,407,1,0,1,25.92592593
45,080197,2008,F1H,H0681,439,0,0,0,20.0
46,080198,2008,F1H,H0719,611,1,1,1,14.28571429
48,080211,2008,F1H,H0719,427,1,0,0,30.0
50,080217,2008,F1H,H0719,310,0,0,0,37.5
51,080219,2008,EC,H0719,418,0,0,1,23.33333333
52,080220,2008,F1H,H0719,0,0,0,0,100.0
54,080222,2008,F1H,H0719,335,0,0,0,25.0
55,080224,2008,F1H,H0719,309,0,0,0,100.0
56,080244,2008,F1H,H0719,376,1,0,1,33.33333333
57,080248,2008,F1H,H0719,310,0,0,0,33.33333333
58,080250SD,2008,F1H,BR,317,0,0,0,0.0
59,080252SD,2008,F1H,BR,335,1,0,1,20.0
60,08082CA,2008,F1H,BR,456,0,0,0,12.5
61,088000SD,2008,F1H,BR,445,0,0,0,25.0
62,088019SD,2008,F1H,BR,378,0,0,0,25.0
66,088067SD,2008,F1H,BR,393,0,0,0,33.33333333
67,088075SD,2008,F1H,BR,0,0,0,0,100.0
70,088085SD,2008,F1H,BR,573,0,0,0,50.0
72,088090SD,2008,F1H,BR,342,0,0,1,31.57894737
75,088108SD,2008,F1H,BR,332,0,0,0,20.0
79,088218SD,2008,F1H,BR,397,1,0,1,25.0
80,088276CP,2008,F1H,BR,369,0,0,1,25.0
82,090002HO,2009,F1H,H487,457,1,1,1,15.38461538
83,090003HO,2009,F1H,H489,380,0,0,0,50.0
84,090004HO,2009,F1H,H489,365,0,0,1,33.33333333
85,090006CP,2009,F1H,BR,439,0,0,1,23.07692308
86,090006HO,2009,F1H,H489,378,1,0,1,18.75
87,090007HO,2009,F1H,H590,433,1,0,1,24.32432432
88,090008HO,2009,F1H,H487,312,1,0,0,50.0
89,090009HO,2009,F1H,H489,318,0,0,1,30.76923077
