Estructura de red; MSE; Iteraciones; SQRT MSE
[2]; 390.34437088083087; 1; 19.75713468296531
[4]; 369.4664898213962; 1; 19.221511122213993
[6]; 277.03749079613146; 1; 16.644443240797557
[8]; 283.14050342813357; 1; 16.826779353998006
[10]; 258.03972547679774; 1; 16.063614956690095
[4, 4]; 259.81074111284903; 1; 16.118645759270503
[4, 6]; 259.4633682511856; 1; 16.10786665735676
[4, 8]; 314.1071364470484; 1; 17.723067918592662
[4, 10]; 270.09744015230086; 1; 16.434641467105415
[6, 4]; 277.03948594493426; 1; 16.644503175070568
[6, 6]; 265.50628076318657; 1; 16.294363466032866
[6, 8]; 279.29584626639405; 1; 16.7121466684084
[6, 10]; 262.0521053359886; 1; 16.188023515426107
[8, 4]; 244.43123561916585; 1; 15.634296774053057
[8, 6]; 271.5957365695582; 1; 16.480161909688817
[8, 8]; 269.329621599685; 1; 16.411265082244118
[8, 10]; 261.8144092213115; 1; 16.180680122334522
[10, 4]; 250.32783480508203; 1; 15.82175195119308
[10, 6]; 257.1404833311173; 1; 16.035600497989382
[10, 8]; 271.8599903419675; 1; 16.48817728986341
[10, 10]; 238.97397889138037; 1; 15.458783228035134
[6, 6, 6]; 252.31681031419845; 1; 15.88448331908213
[6, 6, 8]; 253.6555704415123; 1; 15.926568068529777
[6, 6, 10]; 223.07200663828903; 1; 14.935595289049882
[6, 8, 6]; 252.5547118668455; 1; 15.891970043605214
[6, 8, 8]; 253.77351037874166; 1; 15.930270254416328
[6, 8, 10]; 240.56378575236022; 1; 15.51011881812516
[6, 10, 6]; 263.421005889671; 1; 16.230249717415656
[6, 10, 8]; 234.31333719681152; 1; 15.307296861196999
[6, 10, 10]; 247.98409432597938; 1; 15.74751073427097
[8, 6, 6]; 236.59339352462507; 1; 15.38159268491482
[8, 6, 8]; 244.2315108384417; 1; 15.627908076209103
[8, 6, 10]; 254.27263298685185; 1; 15.945928414076487
[8, 8, 6]; 236.8422027503171; 1; 15.38967844856796
[8, 8, 8]; 234.96513891254548; 1; 15.328572631283889
[8, 8, 10]; 231.48208227202372; 1; 15.214535230233743
[8, 10, 6]; 247.4250649633789; 1; 15.729750950456237
[8, 10, 8]; 256.9844723937816; 1; 16.030735241834094
[8, 10, 10]; 252.28631515545504; 1; 15.883523386058116
[10, 6, 6]; 270.544863593143; 1; 16.448248040236475
[10, 6, 8]; 261.59483282849317; 1; 16.1738935580921
[10, 6, 10]; 252.04646311329242; 1; 15.875971249447778
[10, 8, 6]; 256.8999973666296; 1; 16.028100241969714
[10, 8, 8]; 262.4868592940478; 1; 16.20144620995446
[10, 8, 10]; 224.6265066236886; 1; 14.987545049930246
[10, 10, 6]; 239.29377282405085; 1; 15.469123207992457
[10, 10, 8]; 243.63288202630412; 1; 15.608743768359583
[10, 10, 10]; 237.18873347644987; 1; 15.400932876824374
